Meat
bacon
beef
chicken
cooked meat
duck
ham
kidneys
lamb
liver
mince or minced beef
paté
salami
sausages
pork
pork pie
sausage roll
turkey
veal
Fruit
apple
apricot
banana
blackberry
blackcurrant
blueberry
cherry
coconut
fig
gooseberry
grape
grapefruit
kiwi fruit
lemon
lime
mango
melon
orange
peach
pear
pineapple
plum
pomegranate
raspberry
redcurrant
rhubarb
strawberry
bunch of bananas
bunch of grapes
Fish
anchovy
cod
haddock
herring
"kipper (smoked fish, usually herring)"
mackerel
pilchard
plaice
salmon
sardine
smoked salmon
sole
trout
tuna
Vegetables
artichoke
asparagus
aubergine
avocado
beansprouts
beetroot
broad beans
broccoli
Brussels sprouts
cabbage
carrot
cauliflower
celery
chilli or chilli pepper
courgette
cucumber
French beans
garlic
ginger
leek
lettuce
mushroom
onion
peas
pepper
potato (plural: potatoes)
pumpkin
radish
rocket
runner beans
swede
sweet potato (plural: sweet potatoes)
sweetcorn
tomato (plural: tomatoes)
turnip
spinach
spring onion
squash
clove of garlic
stick of celery
Canned and frozen foods
baked beans
corned beef
kidney beans
soup
tinned tomatoes
chips
fish fingers
frozen peas
frozen pizza
ice cream
Cooking ingredients
cooking oil
olive oil
stock cubes
tomato purée
yogurt
butter
cream
cheese
blue cheese
cottage cheese
goats cheese
crème fraîche
eggs
free range eggs
margarine
milk
full-fat milk
semi-skimmed milk
skimmed milk
sour cream
yoghurt
bread
baguette
bread rolls
brown bread
white bread
garlic bread
pitta bread
loaf or loaf of bread
sliced loaf
cake
Danish pastry
quiche
sponge cake
baking powder
plain flour
self-raising flour
cornflour
sugar
brown sugar
icing sugar
pastry
yeast
dried apricots
prunes
dates
raisins
sultanas
cake
breakfast cereal
cornflakes
honey
jam
marmalade
muesli
porridge
toast
bake
noodles
pasta
pasta sauce
pizza
rice
spaghetti
Condiments and sauces
ketchup
mayonnaise
mustard
pepper
salad dressing
salt
vinaigrette
vinegar
Snacks
biscuits
chocolate
crisps
hummus
nuts
olives
peanuts
sweets
walnuts
Herbs
basil
chives
coriander
dill
parsley
rosemary
sage
thyme
Spices
chilli powder
cinnamon
cumin
curry powder
nutmeg
paprika
saffron
dessert
organic
ready meal
Cold drinks
cola / coke
fruit juice
grapefruit juice
orange juice
pineapple juice
tomato juice
iced tea
lemonade
lime cordial
milkshake
orange squash
pop
smoothie
squash
water
mineral water
still water
sparkling water
tap water
Hot drinks
cocoa
coffee
black coffee
decaffeinated coffee or decaf coffee
fruit tea
green tea
herbal tea
hot chocolate
tea
tea bag
Alcoholic drinks
ale
beer
bitter
cider
lager
shandy
stout
wine
red wine
white wine
rosé
sparkling wine
champagne
martini
liqueur
brandy
gin
rum
whisky
vodka
 whiskey
alcohol
aperitif
cocktail
spirits
breakfast
dinner
lunch
starter
main course
